Nationality,Country
(French),France
(American),America
(Spanish),Spain
(British),England
(German),Germany
(Italian),Other
(Mexican),Other
(Japanese),Other
(Belgian),Other
(Swiss),Other
(Czech),Other
(Russian),Other
(Chilean),Other
(Argentine),Other
(Austrian),Other
(Brazilian),Other
(Israeli),Other
(Nationality unknown),Unknown
(Dutch),Other
(Canadian),Other
(American) (American),America
(Polish),Other
(Colombian),Other
(Costa Rican),Other
(Danish),Other
(),Unknown
(British) (British),England
(Swedish),Other
(Norwegian),Other
(Cuban),Other
(Venezuelan),Other
(Australian),Other
(German) (German),Germany
(Finnish),Other
(Uruguayan),Other
(Yugoslav),Other
(Peruvian),Other
(American) (American) (American),America
(French) (French),France
(Romanian),Other
(Indian),Other
(Canadian Inuit),Other
(French) (French) (French),France
(American) (),America
(Italian) (German),Other
(Italian) (Italian) (Italian),Other
(Zimbabwean),Other
(Ecuadorian),Other
(Italian) (Italian),Other
(American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American),America
(American) (French) (American),America
(Argentine) (Argentine) (Argentine),Other
(Chinese),Other
(French) (French) (),France
(Guatemalan),Other
(Icelandic),Other
(Iranian),Other
() (French) (French) (French),France
(American) (American) (French),America
(Greek),Other
(Irish),Other
(Mexican) (Mexican),Other
(Panamanian),Other
(Slovenian),Other
(Swedish) (Swedish),Other
() (American) (American),America
(American) (British),America
(American) (French),America
(Bolivian),Other
(Dutch) (),Other
(French) (),France
(Hungarian),Other
(Korean),Other
(Latvian) (Russian),Other
(Moroccan),Other
(Portuguese),Other
(Russian) (Russian),Other
(South African),Other
(Turkish),Other
(Ukrainian),Other
() (American),America
() (American) (American) (American) (American) (American) (American) (American) (American),America
() (American) (American) (American) (American) (British) (American) (American) (American) (Venezuelan) (American) (American) (American) (American) (American),America
() (Belgian) (Dutch) (Italian) (British) (American) (Swedish) (American) (American) (American) (Danish) (American) (Austrian) (American) (American) (American) (American) (American) (American) (Canadian) (American) (Spanish) (American) (Danish) (American) (Dutch) (American) (American),Unknown
() (French) (American) (British) (French) (French) (American) (French) (American) (American) (American),Unknown
() (French) (French) (American) (French) (Spanish) (French) (French) (French) (French) (Spanish) (French),Unknown
() (French) (Italian) (French) (French) (French) (French) (French) (German) (Czech) (French) (Italian) (Dutch) (French) (Swiss) (Dutch) (French),Unknown
() (German) (German) (German),Germany
() (Italian) (Italian) (Italian) (Italian) (Italian),Other
(American) () (),America
(American) () () () (Italian) (),America
(American) () (American),America
(American) (American) () () (American) (American),America
(American) (American) (American) (American),America
(American) (American) (American) (American) (American) (American),America
(American) (American) (American) (American) (American) (American) (American),America
(American) (American) (American) (American) (American) (American) (American) (),America
(American) (American) (American) (American) (American) (American) (American) (American),America
(American) (American) (American) (American) (American) (American) (American) (American) (American) (American),America
(American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (),America
(American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (Venezuelan) (American) (American) (American) (American) (American) (American) (American) (French) (),America
(American) (American) (American) (American) (American) (American) (Canadian) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (),America
(American) (American) (American) (Japanese) (Japanese) (American) (American) (American) (American) (American) (American) (),America
(American) (American) (British) (British) (American) (British) (American) (American) (American) (American) (American) (),America
(American) (American) (German) (Russian) (French) (Italian) (French) (Russian) (German) (Israeli) (French) (Russian) (American) (Italian) (Argentine) (Hungarian) (American) (Belgian) (Italian) (Belgian) (),Unknown
(American) (American) (Swedish) (American) (American) (British) (American) (American) (American) (American) (),Unknown
(American) (French) (French) (Irish) (French) (French) (French) (French) (French) (Nationality unknown) (French) (),Unknown
(American) (German),America
(American) (Irish),America
(American) (Italian),America
(American) (Spanish) (Spanish) (French) (Canadian) (British) (British) (),America
(Argentine) (Austrian),Other
(Austrian) (),Other
(Belgian) (American) (American) (American) (American) (American) (British) (American) (American) (American) (British) (American) (American) (American) (American) (American) (American) (American) (American) (American) (),Unknown
(Belgian) (Belgian),Other
(Belgian) (German) (Italian) (French) (French) (French) (British) (Italian) (Canadian) (Italian) (Italian) (Swedish) (Japanese) (Swedish) (Japanese) (French) (Belgian) (),Unknown
(Belgian) (Italian) (Italian) (Cuban) (Chinese) (Italian) (Swedish) (Japanese) (Argentine) (French) (British) (French) (Indian) (French) (Italian) (Japanese) (Romanian) (),Unknown
(British) (French),England
(Canadian) (Spanish) (Swedish) (French) (French) (),Other
(Croatian),Other
(Danish) (),Other
(Danish) (American),America
(Ethiopian),Other
(French) (American),France
(French) (French) () (),France
(French) (French) (French) (),France
(French) (French) (French) (French) (French) (French) (),France
(French) (French) (French) (French) (French) (French) (French) (French) (),France
(French) (French) (French) (French) (French) (French) (French) (French) (French) (French) (French) (Polish) (French) (French) (),France
(French) (French) (French) (French) (French) (French) (French) (French) (Japanese) (French) (French) (French) (French) (French) (French) (French) (American) (French) (French) (French) (),France
(French) (French) (French) (French) (French) (French) (Swiss) (French) (French) (French) (French) (Spanish) (Spanish) (American) (French) (),France
(French) (French) (French) (French) (French) (French) (Swiss) (French) (German) (French) (French) (Italian) (French) (French) (French) (Spanish) (Spanish) (French) (Swiss) (Belgian) (French) (),France
(French) (French) (Romanian) (American) (Romanian),France
(French) (Italian) (),France
(French) (Spanish) (American) (),France
(French) (Spanish) (French),France
(French) (Spanish) (Spanish) (French) (French),France
(French) (Spanish) (Swiss) (French) (French) (Swiss) (French) (French) (French) (French) (French) (French) (French) (Swiss) (Japanese) (French) (French) (French) (French) (Austrian) (French) (French) (French) (French) (French) (),France
(French) (Swiss) (French),France
(German) (American),Germany
(German) (Austrian),Germany
(German) (German) (German),Germany
(German) (German) (German) (German) (German) (German),Germany
(German) (German) (German) (German) (German) (German) (German) (German) (),Germany
(German) (German) (Swiss),Germany
(German) (Swiss),Germany
(Haitian),Other
(Italian) (),Other
(Italian) (British),Other
(Italian) (Italian) (Canadian) (French) (French) (American) (Dutch) (Italian) (Italian) (Japanese) (Swiss) (French) (Japanese) (British) (German) (Belgian) () (Danish) (Italian) (),Other
(Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (),Other
(Japanese) (Japanese) (Japanese) (Japanese) (Japanese) (Japanese) (Japanese) (Japanese) (Japanese) (Japanese) (),Other
(Kuwaiti),Other
(Latvian),Other
(Mexican) (American),Other
(Paraguayan),Other
(Polish) (),Other
(Polish) (French) (Italian) (Japanese) (Dutch) (Argentine) (German) (Mexican) (Austrian) (Russian) (Mexican) (Italian) (Italian) (Italian) (Italian) (French) (Polish) (Italian) (Austrian) (Chilean) (),Unknown
(Spanish) (),Spain
(Spanish) (French),Spain
(Sudanese),Other
(Swiss) (American) (),Other
(Swiss) (French),Other
(Swiss) (Swiss),Other
(Taiwanese),Other
(Tanzanian),Other